A,60,300
B,250,300
C,370,300
D,480,300
E,610,300
F,730,300
G,250,220
H,370,220
I,480,220
J,610,220
K,730,220
L,250,140
M,370,140
N,480,140
O,610,140
P,730,140
Q,250,50
R,370,50
S,480,50
T,610,50
U,730,50
V,250,3
W,370,3
X,480,3
Y,610,3
Z,730,3
